PM2.5,PM10,Date&Time
  11mg/m3,  13mg/m3,2020-02-04 12:12:26
  11mg/m3,  14mg/m3,2020-02-04 12:12:31
  11mg/m3,  14mg/m3,2020-02-04 12:12:36
  11mg/m3,  15mg/m3,2020-02-04 12:12:41
  11mg/m3,  14mg/m3,2020-02-04 12:12:46
   9mg/m3,  12mg/m3,2020-02-04 12:12:51
  10mg/m3,  11mg/m3,2020-02-04 12:12:56
  10mg/m3,  11mg/m3,2020-02-04 12:13:01
  10mg/m3,  11mg/m3,2020-02-04 12:13:06
  10mg/m3,  11mg/m3,2020-02-04 12:13:11
   8mg/m3,   9mg/m3,2020-02-04 12:13:16
  10mg/m3,  11mg/m3,2020-02-04 12:13:21
  11mg/m3,  13mg/m3,2020-02-04 12:13:26
  10mg/m3,  11mg/m3,2020-02-04 12:13:31
  11mg/m3,  12mg/m3,2020-02-04 12:13:36
  15mg/m3,  16mg/m3,2020-02-04 12:13:41
  17mg/m3,  20mg/m3,2020-02-04 12:13:46
  19mg/m3,  22mg/m3,2020-02-04 12:13:51
  19mg/m3,  21mg/m3,2020-02-04 12:13:56
  18mg/m3,  22mg/m3,2020-02-04 12:14:01
  17mg/m3,  21mg/m3,2020-02-04 12:14:06
  16mg/m3,  19mg/m3,2020-02-04 12:14:11
  16mg/m3,  20mg/m3,2020-02-04 12:14:16
  16mg/m3,  21mg/m3,2020-02-04 12:14:21
  16mg/m3,  19mg/m3,2020-02-04 12:14:26
  15mg/m3,  18mg/m3,2020-02-04 12:14:31
  14mg/m3,  18mg/m3,2020-02-04 12:14:36
  14mg/m3,  15mg/m3,2020-02-04 12:14:41
  18mg/m3,  19mg/m3,2020-02-04 12:14:46
  24mg/m3,  27mg/m3,2020-02-04 12:14:51
  27mg/m3,  31mg/m3,2020-02-04 12:14:56
  31mg/m3,  43mg/m3,2020-02-04 12:15:01
  31mg/m3,  43mg/m3,2020-02-04 12:15:06
  30mg/m3,  40mg/m3,2020-02-04 12:15:11
  27mg/m3,  34mg/m3,2020-02-04 12:15:16
  24mg/m3,  32mg/m3,2020-02-04 12:15:21
  23mg/m3,  24mg/m3,2020-02-04 12:15:26
  20mg/m3,  21mg/m3,2020-02-04 12:15:31
  17mg/m3,  18mg/m3,2020-02-04 12:15:36
  16mg/m3,  17mg/m3,2020-02-04 12:15:41
  16mg/m3,  18mg/m3,2020-02-04 12:15:46
  13mg/m3,  15mg/m3,2020-02-04 12:15:51
  14mg/m3,  15mg/m3,2020-02-04 12:15:56
  14mg/m3,  15mg/m3,2020-02-04 12:16:01
  13mg/m3,  14mg/m3,2020-02-04 12:16:06
  13mg/m3,  14mg/m3,2020-02-04 12:16:11
  12mg/m3,  13mg/m3,2020-02-04 12:16:16
  12mg/m3,  13mg/m3,2020-02-04 12:16:21
  11mg/m3,  12mg/m3,2020-02-04 12:16:26
  11mg/m3,  12mg/m3,2020-02-04 12:16:31
  12mg/m3,  13mg/m3,2020-02-04 12:16:36
  13mg/m3,  14mg/m3,2020-02-04 12:16:41
  11mg/m3,  12mg/m3,2020-02-04 12:16:46
  12mg/m3,  13mg/m3,2020-02-04 12:16:51
  13mg/m3,  14mg/m3,2020-02-04 12:16:56
